condition,replicate,group,CDW,Yx,Yp,mumax,lag,strain,strain_type
Glu_65,1,hexose,6.39,0.0983076923076923,0.16987930102684198,0.10183999289220534,6.57524407778845,PE2,lab
Glu_65,2,hexose,4.800000000000001,0.07435033070194155,0.2628162304525598,0.10563362226136733,6.694435945971721,PE2,lab
Glu_65,3,hexose,4.8825,0.07511538461538463,0.2664384795532337,0.10274262613225885,6.687023244886095,PE2,lab
Glu_30,1,hexose,3.7350000000000003,0.13124927395934174,0.3090212677202664,0.11082138976626998,5.131864846306727,PE2,lab
Glu_30,2,hexose,3.6825,0.12743064823641564,0.2933673868053215,0.1119590594695514,5.196968772467388,PE2,lab
Glu_30,3,hexose,4.297499999999999,0.1470303958529689,0.28003385962162874,0.10639287892131001,5.129923588764252,PE2,lab
Xyl_36,1,pentose,1.1595,0.23230958163152665,0.2543125433503447,0.06647554843431293,5.0215938383346455,PE2,lab
Xyl_36,2,pentose,1.17525,0.1494674519136184,0.2758033154976955,0.07154504255965782,5.820128251565531,PE2,lab
Xyl_36,3,pentose,1.22325,0.24502800463524996,0.43955397802094415,0.07216697538790483,5.159029389505779,PE2,lab
Xyl_16,1,pentose,1.23225,0.1667604738129584,0.25021800256918625,0.07620427527751805,5.446949512455077,PE2,lab
Xyl_16,2,pentose,1.21425,0.24360160826793414,0.24830711022764543,0.0828717452818923,4.4469900449510424,PE2,lab
Xyl_16,3,pentose,1.24875,0.2512450116395078,0.21745318690424917,0.07395294748579916,5.606296888921597,PE2,lab
Gal_4.5,1,hexose,1.362,0.30632648125755746,0.3126081403679675,0.095364224223494,5.309782788990262,PE2,lab
Gal_4.5,2,hexose,1.326,0.29608163265306126,0.35637393130554335,0.0928434096018457,5.760479262364255,PE2,lab
Gal_4.5,3,hexose,1.278,0.2881309090909091,0.34926974664679594,0.09088058666767099,4.423415576044839,PE2,lab
Gal_2,1,hexose,0.9119999999999999,0.45599999999999996,0.15749414519906324,0.07090363273592445,5.889821737809123,PE2,lab
Gal_2,2,hexose,0.99,0.5003804347826087,0.1764878831076265,0.07243580240091087,5.892346381451138,PE2,lab
Gal_2,3,hexose,1.01175,0.5256578212290501,0.17472557664882965,0.06838251762893695,5.912603336398618,PE2,lab
Ara_4,1,pentose,1.299,0.26031632991056636,0.18889926639480012,0.01199022221745981,2.7777915836107963,PE2,lab
Ara_4,2,pentose,1.2329999999999999,0.24703554476211498,0.6721452368069536,0.010442377061698562,3.510618403087347,PE2,lab
Ara_4,3,pentose,1.3125,0.2630797901711761,0.6496753511264107,0.009666254442443213,3.220433289766088,PE2,lab
